timestamp,batch_id,pH,temperature_C,metal_feed_rate,aa_feed_rate,mixer_rpm,event,alarm,calibration_status,product_yield_kg,batch_release_decision,post_maintenance_verification,operator_notes,handoff_to_rnd,handoff_to_ops,handoff_to_leadership
2026-03-20 08:00:00,BATCH-001,5.52,61.28,0.14,0.025,174,Batch start,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:01:00,BATCH-001,5.53,61.46,0.17,0.05,177,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:02:00,BATCH-001,5.54,61.64,0.2,0.075,180,,,VERIFIED,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:03:00,BATCH-001,5.55,61.82,0.23,0.1,183,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:04:00,BATCH-001,5.56,62.0,0.26,0.125,174,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:05:00,BATCH-001,5.57,62.18,0.14,0.15,177,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:06:00,BATCH-001,5.58,62.36,0.17,0.025,180,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:07:00,BATCH-001,5.52,62.54,0.2,0.05,183,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:08:00,BATCH-001,5.53,62.72,0.23,0.075,174,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:09:00,BATCH-001,5.54,61.28,0.26,0.1,177,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:10:00,BATCH-001,5.55,61.46,0.14,1.025,180,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:11:00,BATCH-001,5.56,61.64,0.17,1.05,183,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:12:00,BATCH-001,5.57,61.82,0.2,0.925,174,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:13:00,BATCH-001,5.58,62.0,0.23,0.95,177,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:14:00,BATCH-001,5.52,62.18,0.26,0.975,180,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:15:00,BATCH-001,5.53,62.36,0.14,1.0,183,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:16:00,BATCH-001,5.54,62.54,0.17,1.025,174,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:17:00,BATCH-001,5.55,62.72,0.2,1.05,177,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:18:00,BATCH-001,5.56,61.28,0.23,0.925,180,Amino acid feed start,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:19:00,BATCH-001,5.57,61.46,0.26,0.95,183,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:20:00,BATCH-001,5.58,61.64,1.14,0.975,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:21:00,BATCH-001,5.52,61.82,1.17,1.0,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:22:00,BATCH-001,5.53,62.0,1.2,1.025,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:23:00,BATCH-001,5.54,62.18,1.23,1.05,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:24:00,BATCH-001,5.55,62.36,1.26,0.925,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:25:00,BATCH-001,5.56,62.54,1.14,0.95,217,Metal feed start,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:26:00,BATCH-001,5.57,62.72,1.17,0.975,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:27:00,BATCH-001,5.58,61.28,1.2,1.0,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:28:00,BATCH-001,5.52,61.46,1.23,1.025,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:29:00,BATCH-001,5.53,61.64,1.26,1.05,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:30:00,BATCH-001,5.54,61.82,1.14,0.925,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:31:00,BATCH-001,5.55,62.0,1.17,0.95,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:32:00,BATCH-001,5.56,62.18,1.2,0.975,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:33:00,BATCH-001,5.57,62.36,1.23,1.0,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:34:00,BATCH-001,5.58,62.54,1.26,1.025,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:35:00,BATCH-001,5.52,62.72,1.14,1.05,223,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:36:00,BATCH-001,5.53,61.28,1.17,0.925,214,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:37:00,BATCH-001,5.54,61.46,1.2,0.95,217,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
2026-03-20 08:38:00,BATCH-001,5.55,61.64,1.23,0.975,220,,,OK,47.2,Released,Verified stable before release,Clean batch. No abnormal behavior observed.,Use as baseline batch for future comparison.,Repeat same recipe and timing next run.,Batch supports current operating window.
